iter	F1	Logloss
0	0.8022088396	0.6326968449
1	0.8019293947	0.600948408
2	0.8207590382	0.5422806819
3	0.8571932342	0.4976505618
4	0.8712292217	0.4541340021
5	0.8686214778	0.425529112
6	0.8676094798	0.4073276907
7	0.8679257237	0.3966934087
8	0.8668197459	0.3830958525
9	0.8663231971	0.3662963206
10	0.868302415	0.3520807747
11	0.8662179587	0.3418425227
12	0.8679074236	0.3311429443
13	0.8676453333	0.3268700292
14	0.866533069	0.3229799029
15	0.8678100419	0.3172112301
16	0.867870944	0.3167078822
17	0.8684804357	0.3149119093
18	0.867870944	0.3132829287
19	0.8692345936	0.3066325656
20	0.8706364616	0.3027484065
21	0.8695804697	0.2990364918
22	0.8723849231	0.2956665965
23	0.8723237815	0.295092288
24	0.872469302	0.2921804856
25	0.8752244639	0.2895809445
26	0.8762060727	0.2867614531
27	0.8761446576	0.2864631383
28	0.8776573157	0.2843072866
29	0.8774730754	0.284190297
30	0.8781195945	0.2835871128
31	0.8794728465	0.2821625126
32	0.8797188532	0.2801504278
33	0.8804554175	0.2781001932
34	0.8811900972	0.2769474646
35	0.8807922546	0.2756047274
36	0.8819563411	0.2750391186
37	0.8820178515	0.2735690605
38	0.8828725025	0.2718047836
39	0.8825992208	0.2707362242
40	0.8825992208	0.2707362186
41	0.8835759305	0.2696951031
42	0.8836374723	0.2695723579
43	0.8836374723	0.2695588307
44	0.8835143974	0.2680783884
45	0.8851296728	0.2670982721
46	0.885461963	0.2664421105
47	0.8849450317	0.2664190602
48	0.8854375792	0.2647534345
49	0.885622426	0.2643851999
50	0.885622426	0.2642408447
51	0.8862627272	0.264165975
52	0.8868409395	0.2626227592
53	0.8869026126	0.2626017336
54	0.888283123	0.2597582137
55	0.8884067501	0.2594549187
56	0.888798829	0.2585738056
57	0.8884685766	0.2580323843
58	0.8884067501	0.2580263753
59	0.8881595304	0.2572408497
60	0.8886134313	0.256544794
61	0.88958157	0.2545814231
62	0.8893758804	0.2540407219
63	0.8893140568	0.2526432044
64	0.8898088863	0.2518848721
