iter	Passed	Remaining
0	69	55576
1	87	34907
2	107	28552
3	121	24266
4	136	21767
5	153	20311
6	169	19146
7	177	17526
8	190	16713
9	205	16217
10	220	15786
11	231	15229
12	247	15003
13	263	14786
14	271	14226
15	287	14066
16	292	13477
17	308	13389
18	318	13073
19	336	13117
20	350	13010
21	368	13048
22	385	13027
23	392	12684
24	407	12635
25	424	12638
26	439	12590
27	448	12371
28	462	12309
29	471	12104
30	482	11967
31	498	11973
32	513	11934
33	527	11877
34	541	11843
35	554	11773
36	566	11690
37	579	11611
38	595	11613
39	610	11594
40	615	11393
41	629	11365
42	640	11277
43	647	11120
44	660	11080
45	674	11053
46	685	10974
47	692	10853
48	705	10816
49	717	10755
50	728	10692
51	736	10600
52	749	10564
53	756	10455
54	773	10473
55	786	10445
56	803	10478
57	820	10502
58	831	10447
59	845	10429
60	856	10371
61	869	10348
62	883	10335
63	899	10338
64	912	10314
65	925	10291
66	936	10240
67	949	10221
68	962	10201
69	974	10161
70	989	10158
71	1003	10150
72	1019	10148
73	1027	10083
74	1032	9982
75	1040	9915
76	1056	9920
77	1069	9901
78	1082	9883
79	1097	9878
80	1111	9864
81	1117	9788
82	1134	9797
83	1147	9785
84	1160	9759
85	1171	9722
86	1184	9705
87	1196	9678
88	1208	9650
89	1218	9615
90	1233	9611
91	1248	9606
92	1262	9599
93	1278	9603
94	1294	9603
95	1306	9583
96	1319	9562
97	1334	9557
98	1341	9498
99	1356	9495
100	1370	9487
101	1383	9467
102	1397	9458
103	1413	9456
104	1428	9453
105	1441	9438
106	1456	9430
107	1470	9422
108	1484	9411
109	1499	9403
110	1512	9389
111	1524	9365
112	1539	9358
113	1552	9341
114	1565	9322
115	1579	9311
116	1593	9301
117	1607	9289
118	1619	9266
119	1631	9247
120	1639	9198
121	1651	9178
122	1665	9168
123	1672	9118
124	1684	9095
125	1696	9074
126	1712	9077
127	1729	9078
128	1745	9079
129	1763	9087
130	1777	9077
131	1793	9074
132	1806	9059
133	1819	9044
134	1831	9022
135	1842	8994
136	1853	8970
137	1867	8957
138	1881	8947
139	1895	8937
140	1910	8929
141	1925	8920
142	1940	8915
143	1958	8921
144	1972	8911
145	1989	8911
146	1997	8874
147	2012	8867
148	2024	8843
149	2037	8827
150	2049	8808
151	2061	8789
152	2075	8775
153	2086	8752
154	2097	8727
155	2109	8710
156	2123	8697
157	2138	8690
158	2149	8664
159	2160	8641
160	2174	8629
161	2188	8619
162	2204	8613
163	2216	8594
164	2228	8576
165	2241	8561
166	2255	8547
167	2270	8542
168	2284	8529
169	2297	8515
170	2314	8512
171	2328	8503
172	2344	8496
173	2357	8480
174	2372	8472
175	2387	8463
176	2398	8441
177	2412	8428
178	2427	8420
179	2441	8411
180	2455	8398
181	2470	8389
182	2482	8370
183	2494	8349
184	2508	8337
185	2518	8313
186	2533	8305
187	2548	8295
188	2561	8280
189	2576	8270
190	2590	8259
191	2603	8243
192	2617	8231
193	2631	8219
194	2645	8207
195	2660	8199
196	2674	8187
197	2686	8169
198	2700	8156
199	2715	8147
200	2729	8133
201	2744	8124
202	2757	8110
203	2771	8096
204	2786	8088
205	2804	8086
206	2820	8079
207	2834	8067
208	2847	8052
209	2861	8040
210	2874	8023
211	2886	8007
212	2898	7988
213	2911	7971
214	2924	7956
215	2936	7938
216	2950	7926
217	2963	7912
218	2978	7900
219	2990	7883
220	3002	7867
221	3014	7847
222	3027	7833
223	3041	7821
224	3056	7810
225	3068	7793
226	3081	7779
227	3092	7759
228	3105	7743
229	3119	7730
230	3132	7716
231	3146	7703
232	3161	7692
233	3177	7685
234	3190	7670
235	3203	7655
236	3214	7636
237	3226	7618
238	3239	7604
239	3253	7590
240	3264	7571
241	3278	7560
242	3296	7556
243	3313	7550
244	3327	7536
245	3340	7521
246	3355	7511
247	3367	7495
248	3380	7480
249	3393	7465
250	3408	7455
251	3423	7443
252	3434	7425
253	3446	7408
254	3460	7396
255	3471	7377
256	3486	7367
257	3498	7350
258	3511	7334
259	3524	7321
260	3540	7311
261	3552	7295
262	3565	7280
263	3580	7269
264	3594	7256
265	3608	7244
266	3621	7229
267	3633	7213
268	3645	7196
269	3658	7181
270	3670	7164
271	3681	7147
272	3696	7135
273	3710	7122
274	3724	7111
275	3738	7097
276	3752	7085
277	3765	7071
278	3779	7057
279	3794	7046
280	3805	7028
281	3817	7012
282	3830	6997
283	3844	6985
284	3856	6969
285	3868	6952
286	3883	6940
287	3897	6928
288	3912	6918
289	3928	6909
290	3941	6893
291	3956	6883
292	3971	6871
293	3989	6866
294	4005	6856
295	4024	6852
296	4044	6849
297	4062	6843
298	4082	6841
299	4104	6840
300	4126	6841
301	4145	6835
302	4160	6824
303	4180	6820
304	4201	6818
305	4220	6813
306	4238	6806
307	4258	6801
308	4276	6795
309	4290	6782
310	4305	6770
311	4321	6759
312	4336	6747
313	4350	6733
314	4363	6719
315	4376	6703
316	4388	6686
317	4402	6672
318	4415	6657
319	4428	6643
320	4443	6630
321	4458	6618
322	4473	6606
323	4487	6592
324	4499	6576
325	4514	6564
326	4526	6548
327	4541	6535
328	4553	6519
329	4566	6503
330	4578	6487
331	4590	6470
332	4604	6457
333	4619	6444
334	4632	6430
335	4646	6416
336	4660	6403
337	4675	6391
338	4691	6379
339	4706	6366
340	4720	6353
341	4733	6338
342	4748	6326
343	4762	6313
344	4777	6300
345	4790	6285
346	4803	6270
347	4817	6257
348	4830	6241
349	4844	6228
350	4857	6214
351	4874	6203
352	4887	6189
353	4900	6174
354	4915	6161
355	4929	6148
356	4944	6135
357	4957	6121
358	4972	6108
359	4984	6092
360	4999	6080
361	5013	6066
362	5026	6051
363	5042	6039
364	5055	6025
365	5071	6013
366	5084	5998
367	5096	5983
368	5108	5967
369	5122	5953
370	5133	5936
371	5147	5922
372	5162	5909
373	5174	5894
374	5186	5877
375	5199	5863
376	5211	5846
377	5223	5831
378	5236	5817
379	5251	5804
380	5268	5793
381	5283	5781
382	5297	5767
383	5310	5753
384	5323	5738
385	5336	5723
386	5349	5709
387	5362	5693
388	5373	5677
389	5387	5664
390	5401	5650
391	5418	5639
392	5431	5624
393	5443	5609
394	5457	5595
395	5470	5580
396	5485	5567
397	5499	5555
398	5512	5540
399	5526	5526
400	5540	5512
401	5553	5497
402	5567	5484
403	5580	5470
404	5593	5455
405	5609	5443
406	5624	5431
407	5637	5416
408	5652	5403
409	5666	5389
410	5679	5375
411	5693	5361
412	5707	5348
413	5722	5335
414	5737	5322
415	5752	5310
416	5768	5297
417	5783	5285
418	5796	5271
419	5811	5258
420	5825	5244
421	5839	5230
422	5853	5216
423	5869	5205
424	5882	5190
425	5895	5176
426	5912	5165
427	5927	5152
428	5942	5139
429	5955	5124
430	5969	5110
431	5980	5094
432	5994	5080
433	6008	5066
434	6024	5055
435	6039	5042
436	6053	5028
437	6066	5013
438	6079	4999
439	6093	4985
440	6110	4974
441	6125	4961
442	6140	4948
443	6156	4936
444	6168	4920
445	6181	4906
446	6195	4892
447	6208	4878
448	6221	4863
449	6234	4848
450	6248	4834
451	6264	4822
452	6277	4808
453	6292	4795
454	6307	4782
455	6320	4768
456	6335	4754
457	6348	4740
458	6362	4726
459	6376	4713
460	6392	4700
461	6405	4686
462	6419	4672
463	6433	4658
464	6448	4645
465	6463	4632
466	6478	4619
467	6492	4606
468	6507	4592
469	6523	4580
470	6536	4566
471	6551	4552
472	6565	4539
473	6577	4523
474	6590	4509
475	6601	4493
476	6611	4477
477	6623	4462
478	6638	4448
479	6652	4434
480	6667	4422
481	6683	4409
482	6691	4391
483	6703	4376
484	6717	4363
485	6730	4348
486	6743	4333
487	6757	4320
488	6772	4307
489	6782	4290
490	6796	4277
491	6810	4263
492	6824	4249
493	6839	4236
494	6853	4222
495	6865	4207
496	6876	4192
497	6888	4177
498	6905	4165
499	6919	4151
500	6933	4137
501	6946	4123
502	6960	4109
503	6971	4094
504	6982	4079
505	6995	4064
506	7009	4050
507	7023	4037
508	7039	4024
509	7052	4010
510	7063	3994
511	7076	3980
512	7092	3967
513	7105	3953
514	7120	3940
515	7134	3926
516	7146	3911
517	7161	3898
518	7174	3884
519	7185	3869
520	7196	3853
521	7211	3840
522	7228	3828
523	7243	3815
524	7257	3801
525	7273	3788
526	7287	3775
527	7303	3762
528	7316	3748
529	7329	3733
530	7342	3719
531	7354	3705
532	7370	3691
533	7384	3678
534	7397	3664
535	7414	3652
536	7428	3638
537	7443	3624
538	7458	3611
539	7470	3597
540	7484	3583
541	7496	3568
542	7508	3553
543	7520	3538
544	7534	3525
545	7545	3510
546	7560	3496
547	7575	3483
548	7589	3469
549	7603	3456
550	7617	3442
551	7630	3427
552	7644	3414
553	7656	3399
554	7668	3385
555	7681	3371
556	7696	3357
557	7710	3343
558	7723	3329
559	7737	3316
560	7752	3302
561	7766	3289
562	7780	3275
563	7793	3261
564	7803	3245
565	7816	3231
566	7829	3217
567	7843	3203
568	7856	3189
569	7868	3175
570	7880	3160
571	7898	3148
572	7909	3133
573	7926	3120
574	7940	3107
575	7955	3093
576	7966	3078
577	7977	3064
578	7990	3049
579	8002	3035
580	8016	3021
581	8028	3007
582	8041	2992
583	8054	2979
584	8068	2965
585	8081	2951
586	8093	2936
587	8109	2923
588	8123	2910
589	8137	2896
590	8150	2882
591	8164	2868
592	8178	2854
593	8190	2840
594	8202	2826
